Pool	Raw_Reads	Filtered_Reads	Mapped_Reads	%_Duplicate	Filtered_Mapped_Reads	%_mapping_to_mitochondrial_genome
Capture1_B3	2730563	2748265	5607237	19.94	3212254	2.98
Capture1_B4	1898936	1924795	3934480	21.67	2209921	3.07
Capture1_G3	2852782	3322922	6868332	19.02	3819670	2.56
Capture1_G5	3563493	3616699	7403636	19.54	4234324	1.96
Capture1_K3	2113285	2124205	4339085	20.31	2495009	2.99
Capture1_K4	3448064	3484120	7135992	21.47	3980974	1.82
Capture1_M3	6344055	6416928	13152094	22.19	7274729	2.09
Capture1_M4	3061191	3083086	6304749	20.05	3577567	2.59
Capture1_N2	3796744	4405980	9062992	18.76	5156845	2.32
Capture2_B3	2411918	2782450	5725504	16.78	3386656	2.62
Capture2_B4	1993371	2331569	4810646	18.36	2761467	2.71
Capture2_G3	5948693	6068132	12406856	21.18	6678716	2.4
Capture2_G5	2815599	3302860	6808167	16.65	3974306	1.74
Capture2_K3	2437345	2838224	5871136	16.72	3408284	1.64
Capture2_K4	3211899	3732737	7690460	18.3	4440786	2.43
Capture2_M3	3790479	4405212	9075970	18.44	5224487	1.99
Capture2_M4	2764405	3152014	6489944	16.65	3801520	2.28
Capture2_N2	5466351	5548630	11334408	21.51	6126059	2.21
Capture3_B3	194964	780838	1614977	14.98	940933	3.36
Capture3_B4	476484	2016135	4172062	17.14	2333663	3.47
Capture3_G3	699084	2934150	6082734	17.83	3285182	2.71
Capture3_G5	630866	2696364	5585096	15.58	3189749	2.09
Capture3_K3	659207	2738687	5676843	15.46	3238854	1.81
Capture3_K4	737108	3134942	6474151	17.06	3634058	2.97
Capture3_M3	1139226	4747116	9824148	17.35	5532313	2.16
Capture3_M4	679673	2810193	5811412	15.72	3324160	2.63
Capture3_N2	692872	2942732	6071260	17.84	3322535	2.63
Capture4_B3	319930	1744115	3561213	15.69	2116554	2.32
Capture4_B4	502182	2708105	5531967	17.41	3174662	2.83
Capture4_G3	329509	1703796	3479659	17.58	2003468	2.47
Capture4_G5	544372	2950045	6027797	15.62	3548595	1.65
Capture4_K3	727686	3989876	8148550	16.18	4787009	1.47
Capture4_K4	969417	5189822	10607061	17.28	6160135	2.25
Capture4_M3	630314	3431316	7006583	17.75	4032033	1.96
Capture4_M4	1030971	5636001	11517876	16.26	6735390	1.96
Capture4_N2	856880	4656724	9489973	17.99	5316081	1.94
