Pool	Raw_Reads	Filtered_Reads	Mapped_Reads	%_Duplicate	Filtered_Mapped_Reads	%_mapping_to_mitochondrial_genome
Capture1_B3	5617998	5617998	5707694	20.12	3261190	2.97
Capture1_B4	3922296	3922296	3994997	21.81	2241076	3.06
Capture1_G3	6775356	6775356	6975007	19.17	3873157	2.55
Capture1_G5	7368020	7368020	7513046	19.69	4290315	1.96
Capture1_K3	4347272	4347272	4421844	20.45	2532563	2.98
Capture1_K4	7105038	7105038	7251360	21.65	4035828	1.81
Capture1_M3	13098328	13098328	13371127	22.37	7377165	2.09
Capture1_M4	6290858	6290858	6412570	20.2	3631293	2.59
Capture1_N2	8974858	8974858	9200270	18.92	5225507	2.32
Capture2_B3	5647536	5647536	5792182	16.67	3420311	2.62
Capture2_B4	4719118	4719118	4855612	18.32	2785612	2.71
Capture2_G3	12295696	12295696	12541048	21.33	6739575	2.4
Capture2_G5	6685556	6685556	6871852	16.6	4004794	1.74
Capture2_K3	5761656	5761656	5942702	16.58	3442971	1.63
Capture2_K4	7579464	7579464	7785553	18.28	4486120	2.42
Capture2_M3	8927964	8927964	9172150	18.51	5271153	1.99
Capture2_M4	6386714	6386714	6559946	16.62	3837004	2.28
Capture2_N1	31008770	31008770	31746690	18.22	19156065	1.36
Capture2_N2	11286418	11286418	11492303	21.72	6193409	2.21
Capture3_B3	1585502	1585502	1633695	14.92	951082	3.35
Capture3_B4	4074398	4074398	4201968	17.23	2350941	3.46
Capture3_G3	5932398	5932398	6128885	17.94	3310022	2.7
Capture3_G5	5449538	5449538	5621988	15.67	3210648	2.08
Capture3_K3	5541898	5541898	5724058	15.51	3264154	1.81
Capture3_K4	6348846	6348846	6532525	17.18	3664603	2.95
Capture3_M3	9595554	9595554	9894738	17.45	5569565	2.16
Capture3_M4	5681748	5681748	5857990	15.81	3349880	2.63
Capture3_N1	11390558	11390558	11696580	16.24	7105595	1.12
Capture3_N2	5957108	5957108	6123132	17.94	3349364	2.62
Capture4_B3	3529860	3529860	3585506	15.75	2129564	2.32
Capture4_B4	5475234	5475234	5567774	17.48	3194608	2.82
Capture4_G3	3453580	3453580	3509048	17.65	2018548	2.47
Capture4_G5	5966670	5966670	6065704	15.68	3569191	1.65
Capture4_K3	8078614	8078614	8209214	16.24	4813630	1.47
Capture4_K4	10490420	10490420	10674320	17.38	6193467	2.25
Capture4_M3	6952262	6952262	7057466	17.82	4056903	1.96
Capture4_M4	11383236	11383236	11586585	16.34	6770066	1.96
Capture4_N1	4693852	4693852				
Capture4_N2	9429710	9429710	9557756	18.09	5348964	1.94
